"TITLE,lat,long"
"Yellow stone, 44.738356171845396, -110.59483586893631"
"gran cnyon of the yellow stone, 44.77187432515899, -110.4732802508172"
"yellowstone lake, 44.444560440183686, -110.33169546432006"
"cody. 44.52735328009595, -109.05369814969497"
"mount rushmore national memorial , 43.88314334678135, -103.45384261526664"
"rushmore tramway adventures, 43.94070599187389, -103.40914402989442"
"Shoshone National forest, 44.108539808657405, -109.51483700796074"
"bighorn national forest, 44.594119200846436, -107.37855819842974"
"mitchel corn palace, 43.716028292692755, -98.0250523756112"
"medora muscial, 47.06732047457057, -103.5571953465511"
"fargo air museum, 47.07964271405545, -96.78608541195688"

